symbol,qty,market_value,side,timestamp_utc
TDG,20.0,24095.4,long,2026-05-05T14:37:22.790696+00:00
TFC,-101.0,-5030.305,short,2026-05-05T14:37:22.790696+00:00
TGT,200.0,25554.0,long,2026-05-05T14:37:22.790696+00:00
TMO,46.0,21322.84,long,2026-05-05T14:37:22.790696+00:00
TT,49.0,23955.855,long,2026-05-05T14:37:22.790696+00:00
TTD,-211.0,-5031.295,short,2026-05-05T14:37:22.790696+00:00
TTWO,101.0,22515.93,long,2026-05-05T14:37:22.790696+00:00
TXN,78.0,21699.6,long,2026-05-05T14:37:22.790696+00:00
UAL,268.0,24736.4,long,2026-05-05T14:37:22.790696+00:00
UPS,-51.0,-4989.33,short,2026-05-05T14:37:22.790696+00:00
VLO,102.0,25587.21,long,2026-05-05T14:37:22.790696+00:00
VRSK,-30.0,-5299.8,short,2026-05-05T14:37:22.790696+00:00
WBD,-184.0,-4951.44,short,2026-05-05T14:37:22.790696+00:00
WDC,50.0,23696.0,long,2026-05-05T14:37:22.790696+00:00
WMB,-78.0,-5958.03,short,2026-05-05T14:37:22.790696+00:00
WTW,88.0,22777.92,long,2026-05-05T14:37:22.790696+00:00
WYNN,202.0,21240.3,long,2026-05-05T14:37:22.790696+00:00
XYZ,320.0,22951.2,long,2026-05-05T14:37:22.790696+00:00
ZTS,-44.0,-4975.7136,short,2026-05-05T14:37:22.790696+00:00
