symbol,weight,timestamp_utc
EL,0.02600000000000001,2026-04-30T23:59:23.882648+00:00
MNST,0.02600000000000001,2026-04-30T23:59:23.882648+00:00
KO,0.02600000000000001,2026-04-30T23:59:23.882648+00:00
TGT,0.02600000000000001,2026-04-30T23:59:23.882648+00:00
HAL,0.026000000000000006,2026-04-30T23:59:23.882648+00:00
APA,0.026000000000000006,2026-04-30T23:59:23.882648+00:00
VLO,0.026000000000000006,2026-04-30T23:59:23.882648+00:00
FTV,0.02414285714285715,2026-04-30T23:59:23.882648+00:00
TDG,0.02414285714285715,2026-04-30T23:59:23.882648+00:00
RTX,0.02414285714285715,2026-04-30T23:59:23.882648+00:00
ODFL,0.02414285714285715,2026-04-30T23:59:23.882648+00:00
PH,0.02414285714285715,2026-04-30T23:59:23.882648+00:00
TT,0.02414285714285715,2026-04-30T23:59:23.882648+00:00
UAL,0.02414285714285715,2026-04-30T23:59:23.882648+00:00
CPAY,0.022629629629629635,2026-04-30T23:59:23.882648+00:00
BLK,0.022629629629629635,2026-04-30T23:59:23.882648+00:00
BX,0.022629629629629635,2026-04-30T23:59:23.882648+00:00
COF,0.022629629629629635,2026-04-30T23:59:23.882648+00:00
SYF,0.022629629629629635,2026-04-30T23:59:23.882648+00:00
WTW,0.022629629629629635,2026-04-30T23:59:23.882648+00:00
XYZ,0.022629629629629635,2026-04-30T23:59:23.882648+00:00
MSCI,0.022629629629629635,2026-04-30T23:59:23.882648+00:00
PYPL,0.022629629629629635,2026-04-30T23:59:23.882648+00:00
INCY,0.022208333333333337,2026-04-30T23:59:23.882648+00:00
ALGN,0.022208333333333337,2026-04-30T23:59:23.882648+00:00
BSX,0.022208333333333337,2026-04-30T23:59:23.882648+00:00
EW,0.022208333333333337,2026-04-30T23:59:23.882648+00:00
DHR,0.022208333333333337,2026-04-30T23:59:23.882648+00:00
TMO,0.022208333333333337,2026-04-30T23:59:23.882648+00:00
REGN,0.022208333333333337,2026-04-30T23:59:23.882648+00:00
IQV,0.022208333333333337,2026-04-30T23:59:23.882648+00:00
WDC,0.022148148148148153,2026-04-30T23:59:23.882648+00:00
STX,0.022148148148148153,2026-04-30T23:59:23.882648+00:00
ON,0.022148148148148153,2026-04-30T23:59:23.882648+00:00
INTC,0.022148148148148153,2026-04-30T23:59:23.882648+00:00
TXN,0.022148148148148153,2026-04-30T23:59:23.882648+00:00
AMD,0.022148148148148153,2026-04-30T23:59:23.882648+00:00
HPQ,0.022148148148148153,2026-04-30T23:59:23.882648+00:00
IBM,0.022148148148148153,2026-04-30T23:59:23.882648+00:00
ORCL,0.022148148148148153,2026-04-30T23:59:23.882648+00:00
PCG,0.02166666666666667,2026-04-30T23:59:23.882648+00:00
PPG,0.02166666666666667,2026-04-30T23:59:23.882648+00:00
CF,0.02166666666666667,2026-04-30T23:59:23.882648+00:00
CHTR,0.02166666666666667,2026-04-30T23:59:23.882648+00:00
GM,0.02166666666666667,2026-04-30T23:59:23.882648+00:00
EQIX,0.02166666666666667,2026-04-30T23:59:23.882648+00:00
CCL,0.02166666666666667,2026-04-30T23:59:23.882648+00:00
EBAY,0.02166666666666667,2026-04-30T23:59:23.882648+00:00
EXPE,0.02166666666666667,2026-04-30T23:59:23.882648+00:00
BKNG,0.02166666666666667,2026-04-30T23:59:23.882648+00:00
PSA,0.02166666666666667,2026-04-30T23:59:23.882648+00:00
SRE,0.02166666666666667,2026-04-30T23:59:23.882648+00:00
PSKY,0.02166666666666667,2026-04-30T23:59:23.882648+00:00
TTWO,0.02166666666666667,2026-04-30T23:59:23.882648+00:00
LVS,0.02166666666666667,2026-04-30T23:59:23.882648+00:00
LYB,0.02166666666666667,2026-04-30T23:59:23.882648+00:00
WYNN,0.02166666666666667,2026-04-30T23:59:23.882648+00:00
MCD,-0.004999999999999999,2026-04-30T23:59:23.882648+00:00
AMZN,-0.004999999999999999,2026-04-30T23:59:23.882648+00:00
APTV,-0.004999999999999999,2026-04-30T23:59:23.882648+00:00
CMG,-0.004999999999999999,2026-04-30T23:59:23.882648+00:00
HD,-0.004999999999999999,2026-04-30T23:59:23.882648+00:00
ORLY,-0.004999999999999999,2026-04-30T23:59:23.882648+00:00
NKE,-0.004999999999999999,2026-04-30T23:59:23.882648+00:00
WBD,-0.005,2026-04-30T23:59:23.882648+00:00
SPG,-0.005,2026-04-30T23:59:23.882648+00:00
MOS,-0.005,2026-04-30T23:59:23.882648+00:00
LIN,-0.005,2026-04-30T23:59:23.882648+00:00
TTD,-0.005,2026-04-30T23:59:23.882648+00:00
DD,-0.005,2026-04-30T23:59:23.882648+00:00
GOOG,-0.005,2026-04-30T23:59:23.882648+00:00
D,-0.005,2026-04-30T23:59:23.882648+00:00
AEP,-0.005,2026-04-30T23:59:23.882648+00:00
AMT,-0.005,2026-04-30T23:59:23.882648+00:00
ADBE,-0.0051111111111111105,2026-04-30T23:59:23.882648+00:00
AVGO,-0.0051111111111111105,2026-04-30T23:59:23.882648+00:00
CSCO,-0.0051111111111111105,2026-04-30T23:59:23.882648+00:00
SNPS,-0.0051111111111111105,2026-04-30T23:59:23.882648+00:00
MU,-0.0051111111111111105,2026-04-30T23:59:23.882648+00:00
NOW,-0.0051111111111111105,2026-04-30T23:59:23.882648+00:00
LRCX,-0.0051111111111111105,2026-04-30T23:59:23.882648+00:00
MCHP,-0.0051111111111111105,2026-04-30T23:59:23.882648+00:00
SWKS,-0.0051111111111111105,2026-04-30T23:59:23.882648+00:00
JNJ,-0.005124999999999999,2026-04-30T23:59:23.882648+00:00
ZTS,-0.005124999999999999,2026-04-30T23:59:23.882648+00:00
HUM,-0.005124999999999999,2026-04-30T23:59:23.882648+00:00
CVS,-0.005124999999999999,2026-04-30T23:59:23.882648+00:00
CNC,-0.005124999999999999,2026-04-30T23:59:23.882648+00:00
ABT,-0.005124999999999999,2026-04-30T23:59:23.882648+00:00
ELV,-0.005124999999999999,2026-04-30T23:59:23.882648+00:00
ABBV,-0.005124999999999999,2026-04-30T23:59:23.882648+00:00
BK,-0.005222222222222222,2026-04-30T23:59:23.882648+00:00
FIS,-0.005222222222222222,2026-04-30T23:59:23.882648+00:00
AMP,-0.005222222222222222,2026-04-30T23:59:23.882648+00:00
MS,-0.005222222222222222,2026-04-30T23:59:23.882648+00:00
PNC,-0.005222222222222222,2026-04-30T23:59:23.882648+00:00
PGR,-0.005222222222222222,2026-04-30T23:59:23.882648+00:00
CB,-0.005222222222222222,2026-04-30T23:59:23.882648+00:00
TFC,-0.005222222222222222,2026-04-30T23:59:23.882648+00:00
RF,-0.005222222222222222,2026-04-30T23:59:23.882648+00:00
VRSK,-0.005571428571428572,2026-04-30T23:59:23.882648+00:00
UPS,-0.005571428571428572,2026-04-30T23:59:23.882648+00:00
CMI,-0.005571428571428572,2026-04-30T23:59:23.882648+00:00
EFX,-0.005571428571428572,2026-04-30T23:59:23.882648+00:00
ADP,-0.005571428571428572,2026-04-30T23:59:23.882648+00:00
GD,-0.005571428571428572,2026-04-30T23:59:23.882648+00:00
PAYX,-0.005571428571428572,2026-04-30T23:59:23.882648+00:00
KMI,-0.005999999999999999,2026-04-30T23:59:23.882648+00:00
BKR,-0.005999999999999999,2026-04-30T23:59:23.882648+00:00
WMB,-0.005999999999999999,2026-04-30T23:59:23.882648+00:00
CLX,-0.006,2026-04-30T23:59:23.882648+00:00
CL,-0.006,2026-04-30T23:59:23.882648+00:00
PG,-0.006,2026-04-30T23:59:23.882648+00:00
KMB,-0.006,2026-04-30T23:59:23.882648+00:00
