symbol,weight,timestamp_utc
APA,0.026086956521739132,2026-04-30_234142
HAL,0.026086956521739132,2026-04-30_234142
EL,0.026086956521739132,2026-04-30_234142
VLO,0.026086956521739132,2026-04-30_234142
KO,0.026086956521739132,2026-04-30_234142
MNST,0.026086956521739132,2026-04-30_234142
TGT,0.026086956521739132,2026-04-30_234142
FTV,0.02422360248447205,2026-04-30_234142
TT,0.02422360248447205,2026-04-30_234142
PH,0.02422360248447205,2026-04-30_234142
ODFL,0.02422360248447205,2026-04-30_234142
NOC,0.02422360248447205,2026-04-30_234142
UAL,0.02422360248447205,2026-04-30_234142
RTX,0.02422360248447205,2026-04-30_234142
DHR,0.022282608695652174,2026-04-30_234142
ALGN,0.022282608695652174,2026-04-30_234142
BSX,0.022282608695652174,2026-04-30_234142
EW,0.022282608695652174,2026-04-30_234142
REGN,0.022282608695652174,2026-04-30_234142
TMO,0.022282608695652174,2026-04-30_234142
INCY,0.022282608695652174,2026-04-30_234142
IQV,0.022282608695652174,2026-04-30_234142
INTC,0.022222222222222223,2026-04-30_234142
MSCI,0.022222222222222223,2026-04-30_234142
ON,0.022222222222222223,2026-04-30_234142
ORCL,0.022222222222222223,2026-04-30_234142
WDC,0.022222222222222223,2026-04-30_234142
WTW,0.022222222222222223,2026-04-30_234142
XYZ,0.022222222222222223,2026-04-30_234142
TXN,0.022222222222222223,2026-04-30_234142
STX,0.022222222222222223,2026-04-30_234142
SYF,0.022222222222222223,2026-04-30_234142
IBM,0.022222222222222223,2026-04-30_234142
PYPL,0.022222222222222223,2026-04-30_234142
CPAY,0.022222222222222223,2026-04-30_234142
COF,0.022222222222222223,2026-04-30_234142
BX,0.022222222222222223,2026-04-30_234142
HPQ,0.022222222222222223,2026-04-30_234142
BLK,0.022222222222222223,2026-04-30_234142
AMD,0.022222222222222223,2026-04-30_234142
WYNN,0.02173913043478261,2026-04-30_234142
LVS,0.02173913043478261,2026-04-30_234142
GM,0.02173913043478261,2026-04-30_234142
EBAY,0.02173913043478261,2026-04-30_234142
EXPE,0.02173913043478261,2026-04-30_234142
BKNG,0.02173913043478261,2026-04-30_234142
CCL,0.02173913043478261,2026-04-30_234142
CF,0.021739130434782608,2026-04-30_234142
EQIX,0.021739130434782608,2026-04-30_234142
CHTR,0.021739130434782608,2026-04-30_234142
SRE,0.021739130434782608,2026-04-30_234142
TTWO,0.021739130434782608,2026-04-30_234142
PSKY,0.021739130434782608,2026-04-30_234142
PPG,0.021739130434782608,2026-04-30_234142
PSA,0.021739130434782608,2026-04-30_234142
PCG,0.021739130434782608,2026-04-30_234142
LYB,0.021739130434782608,2026-04-30_234142
MCD,-0.005016722408026755,2026-04-30_234142
APTV,-0.005016722408026755,2026-04-30_234142
HD,-0.005016722408026755,2026-04-30_234142
CMG,-0.005016722408026755,2026-04-30_234142
D,-0.005016722408026755,2026-04-30_234142
SPG,-0.005016722408026755,2026-04-30_234142
ORLY,-0.005016722408026755,2026-04-30_234142
NKE,-0.005016722408026755,2026-04-30_234142
AEP,-0.005016722408026755,2026-04-30_234142
AMT,-0.005016722408026755,2026-04-30_234142
AMZN,-0.005016722408026755,2026-04-30_234142
MOS,-0.005016722408026756,2026-04-30_234142
DD,-0.005016722408026756,2026-04-30_234142
GOOG,-0.005016722408026756,2026-04-30_234142
LIN,-0.005016722408026756,2026-04-30_234142
TTD,-0.005016722408026756,2026-04-30_234142
WBD,-0.005016722408026756,2026-04-30_234142
BK,-0.005128205128205128,2026-04-30_234142
AVGO,-0.005128205128205128,2026-04-30_234142
ADBE,-0.005128205128205128,2026-04-30_234142
LRCX,-0.005128205128205128,2026-04-30_234142
CB,-0.005128205128205128,2026-04-30_234142
CSCO,-0.005128205128205128,2026-04-30_234142
FIS,-0.005128205128205128,2026-04-30_234142
AMP,-0.005128205128205128,2026-04-30_234142
TFC,-0.005128205128205128,2026-04-30_234142
SWKS,-0.005128205128205128,2026-04-30_234142
SNPS,-0.005128205128205128,2026-04-30_234142
RF,-0.005128205128205128,2026-04-30_234142
PGR,-0.005128205128205128,2026-04-30_234142
PNC,-0.005128205128205128,2026-04-30_234142
MS,-0.005128205128205128,2026-04-30_234142
NOW,-0.005128205128205128,2026-04-30_234142
MU,-0.005128205128205128,2026-04-30_234142
MSI,-0.005128205128205128,2026-04-30_234142
ELV,-0.005142140468227425,2026-04-30_234142
CNC,-0.005142140468227425,2026-04-30_234142
ABT,-0.005142140468227425,2026-04-30_234142
ABBV,-0.005142140468227425,2026-04-30_234142
JNJ,-0.005142140468227425,2026-04-30_234142
CVS,-0.005142140468227425,2026-04-30_234142
ZTS,-0.005142140468227425,2026-04-30_234142
HUM,-0.005142140468227425,2026-04-30_234142
VRSK,-0.005590062111801242,2026-04-30_234142
UPS,-0.005590062111801242,2026-04-30_234142
CMI,-0.005590062111801242,2026-04-30_234142
EFX,-0.005590062111801242,2026-04-30_234142
ADP,-0.005590062111801242,2026-04-30_234142
GD,-0.005590062111801242,2026-04-30_234142
PAYX,-0.005590062111801242,2026-04-30_234142
KMB,-0.006020066889632107,2026-04-30_234142
CL,-0.006020066889632107,2026-04-30_234142
CLX,-0.006020066889632107,2026-04-30_234142
PG,-0.006020066889632107,2026-04-30_234142
BKR,-0.006020066889632108,2026-04-30_234142
KMI,-0.006020066889632108,2026-04-30_234142
WMB,-0.006020066889632108,2026-04-30_234142
