symbol,side,qty,notional,target_weight,current_weight,weight_diff,price,timestamp_utc
VLO,buy,102.9377,26000.0,0.026,0.0,0.026,252.58,2026-05-01T01:17:31.444697+00:00
FTV,buy,403.7942,24142.86,0.0241,0.0,0.0241,59.79,2026-05-01T01:17:31.444697+00:00
ODFL,buy,113.6509,24142.86,0.0241,0.0,0.0241,212.43,2026-05-01T01:17:31.444697+00:00
PH,buy,26.5475,24142.86,0.0241,0.0,0.0241,909.42,2026-05-01T01:17:31.444697+00:00
RTX,buy,137.1208,24142.86,0.0241,0.0,0.0241,176.07,2026-05-01T01:17:31.444697+00:00
TDG,buy,20.8132,24142.86,0.0241,0.0,0.0241,1159.98,2026-05-01T01:17:31.444697+00:00
TT,buy,49.017,24142.86,0.0241,0.0,0.0241,492.54,2026-05-01T01:17:31.444697+00:00
UAL,buy,268.254,24142.86,0.0241,0.0,0.0241,90.0,2026-05-01T01:17:31.444697+00:00
BLK,buy,21.2365,22629.63,0.0226,0.0,0.0226,1065.6,2026-05-01T01:17:31.444697+00:00
BX,buy,180.2009,22629.63,0.0226,0.0,0.0226,125.58,2026-05-01T01:17:31.444697+00:00
COF,buy,118.2939,22629.63,0.0226,0.0,0.0226,191.3,2026-05-01T01:17:31.444697+00:00
CPAY,buy,73.8396,22629.63,0.0226,0.0,0.0226,306.47,2026-05-01T01:17:31.444697+00:00
MSCI,buy,38.2639,22629.63,0.0226,0.0,0.0226,591.41,2026-05-01T01:17:31.444697+00:00
PYPL,buy,451.3289,22629.63,0.0226,0.0,0.0226,50.14,2026-05-01T01:17:31.444697+00:00
SYF,buy,296.9768,22629.63,0.0226,0.0,0.0226,76.2,2026-05-01T01:17:31.444697+00:00
WTW,buy,88.328,22629.63,0.0226,0.0,0.0226,256.2,2026-05-01T01:17:31.444697+00:00
XYZ,buy,320.9421,22629.63,0.0226,0.0,0.0226,70.51,2026-05-01T01:17:31.444697+00:00
ALGN,buy,126.1765,22208.33,0.0222,0.0,0.0222,176.01,2026-05-01T01:17:31.444697+00:00
BSX,buy,385.4944,22208.33,0.0222,0.0,0.0222,57.61,2026-05-01T01:17:31.444697+00:00
DHR,buy,124.1036,22208.33,0.0222,0.0,0.0222,178.95,2026-05-01T01:17:31.444697+00:00
EW,buy,265.9681,22208.33,0.0222,0.0,0.0222,83.5,2026-05-01T01:17:31.444697+00:00
INCY,buy,233.1094,22208.33,0.0222,0.0,0.0222,95.27,2026-05-01T01:17:31.444697+00:00
IQV,buy,140.2307,22208.33,0.0222,0.0,0.0222,158.37,2026-05-01T01:17:31.444697+00:00
REGN,buy,31.4094,22208.33,0.0222,0.0,0.0222,707.06,2026-05-01T01:17:31.444697+00:00
TMO,buy,46.3678,22208.33,0.0222,0.0,0.0222,478.96,2026-05-01T01:17:31.444697+00:00
AMD,buy,62.4789,22148.15,0.0221,0.0,0.0221,354.49,2026-05-01T01:17:31.444697+00:00
HPQ,buy,1061.752,22148.15,0.0221,0.0,0.0221,20.86,2026-05-01T01:17:31.444697+00:00
IBM,buy,95.8877,22148.15,0.0221,0.0,0.0221,230.98,2026-05-01T01:17:31.444697+00:00
INTC,buy,234.4215,22148.15,0.0221,0.0,0.0221,94.48,2026-05-01T01:17:31.444697+00:00
ON,buy,219.7019,22148.15,0.0221,0.0,0.0221,100.81,2026-05-01T01:17:31.444697+00:00
ORCL,buy,137.2337,22148.15,0.0221,0.0,0.0221,161.39,2026-05-01T01:17:31.444697+00:00
STX,buy,32.8783,22148.15,0.0221,0.0,0.0221,673.64,2026-05-01T01:17:31.444697+00:00
TXN,buy,78.7966,22148.15,0.0221,0.0,0.0221,281.08,2026-05-01T01:17:31.444697+00:00
WDC,buy,50.9715,22148.15,0.0221,0.0,0.0221,434.52,2026-05-01T01:17:31.444697+00:00
BKNG,buy,128.6925,21666.67,0.0217,0.0,0.0217,168.36,2026-05-01T01:17:31.444697+00:00
CCL,buy,817.3016,21666.67,0.0217,0.0,0.0217,26.51,2026-05-01T01:17:31.444697+00:00
CF,buy,174.4498,21666.67,0.0217,0.0,0.0217,124.2,2026-05-01T01:17:31.444697+00:00
CHTR,buy,131.178,21666.67,0.0217,0.0,0.0217,165.17,2026-05-01T01:17:31.444697+00:00
EBAY,buy,209.3802,21666.67,0.0217,0.0,0.0217,103.48,2026-05-01T01:17:31.444697+00:00
EQIX,buy,20.0093,21666.67,0.0217,0.0,0.0217,1082.83,2026-05-01T01:17:31.444697+00:00
EXPE,buy,87.2354,21666.67,0.0217,0.0,0.0217,248.37,2026-05-01T01:17:31.444697+00:00
GM,buy,281.7878,21666.67,0.0217,0.0,0.0217,76.89,2026-05-01T01:17:31.444697+00:00
LVS,buy,396.7527,21666.67,0.0217,0.0,0.0217,54.61,2026-05-01T01:17:31.444697+00:00
LYB,buy,290.4379,21666.67,0.0217,0.0,0.0217,74.6,2026-05-01T01:17:31.444697+00:00
PCG,buy,1303.6502,21666.67,0.0217,0.0,0.0217,16.62,2026-05-01T01:17:31.444697+00:00
PPG,buy,199.6928,21666.67,0.0217,0.0,0.0217,108.5,2026-05-01T01:17:31.444697+00:00
PSA,buy,71.6372,21666.67,0.0217,0.0,0.0217,302.45,2026-05-01T01:17:31.444697+00:00
PSKY,buy,2115.8855,21666.67,0.0217,0.0,0.0217,10.24,2026-05-01T01:17:31.444697+00:00
SRE,buy,227.7824,21666.67,0.0217,0.0,0.0217,95.12,2026-05-01T01:17:31.444697+00:00
TTWO,buy,101.3598,21666.67,0.0217,0.0,0.0217,213.76,2026-05-01T01:17:31.444697+00:00
WYNN,buy,202.2843,21666.67,0.0217,0.0,0.0217,107.11,2026-05-01T01:17:31.444697+00:00
