symbol,side,notional,order_id,status,timestamp_utc
BKNG,buy,21739.13,2366f159-5c07-463c-830d-6f7b782a75ed,OrderStatus.ACCEPTED,2026-04-30_234142
SRE,buy,21739.13,e48dc1b2-885a-4ece-9a57-08ca2d2f3114,OrderStatus.ACCEPTED,2026-04-30_234142
WYNN,buy,21739.13,597740ff-4219-4826-be88-6c63f2d8626e,OrderStatus.ACCEPTED,2026-04-30_234142
PSKY,buy,21739.13,3f8db521-7a16-46cb-9f12-0458b346222e,OrderStatus.ACCEPTED,2026-04-30_234142
TTWO,buy,21739.13,cc0fc41b-c5eb-477c-83db-2a65b4dc37c3,OrderStatus.ACCEPTED,2026-04-30_234142
LVS,buy,21739.13,db299c41-eb99-40cd-b044-ae943ad3c034,OrderStatus.ACCEPTED,2026-04-30_234142
PCG,buy,21739.13,bd87de4c-3ccd-432f-8b53-b30dbed4c68c,OrderStatus.ACCEPTED,2026-04-30_234142
LYB,buy,21739.13,7cf76e70-77cb-4e72-ae47-1e19fcdbef3f,OrderStatus.ACCEPTED,2026-04-30_234142
KMB,sell,6020.07,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
WMB,sell,6020.07,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
BKR,sell,6020.07,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
CLX,sell,6020.07,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
CL,sell,6020.07,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
PG,sell,6020.07,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
KMI,sell,6020.07,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
VRSK,sell,5590.06,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
UPS,sell,5590.06,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
GD,sell,5590.06,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
PAYX,sell,5590.06,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
EFX,sell,5590.06,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
CMI,sell,5590.06,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
ADP,sell,5590.06,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
ABT,sell,5142.14,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
ELV,sell,5142.14,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
ABBV,sell,5142.14,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
CVS,sell,5142.14,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
CNC,sell,5142.14,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
JNJ,sell,5142.14,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
HUM,sell,5142.14,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
ZTS,sell,5142.14,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
CSCO,sell,5128.21,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
FIS,sell,5128.21,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
CB,sell,5128.21,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
PNC,sell,5128.21,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
TFC,sell,5128.21,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
SNPS,sell,5128.21,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
SWKS,sell,5128.21,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
RF,sell,5128.21,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
MU,sell,5128.21,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
NOW,sell,5128.21,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
PGR,sell,5128.21,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
ADBE,sell,5128.21,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
AVGO,sell,5128.21,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
BK,sell,5128.21,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
AMP,sell,5128.21,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
MS,sell,5128.21,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
LRCX,sell,5128.21,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
MSI,sell,5128.21,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
AMZN,sell,5016.72,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
HD,sell,5016.72,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
GOOG,sell,5016.72,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
D,sell,5016.72,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
DD,sell,5016.72,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
CMG,sell,5016.72,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
AMT,sell,5016.72,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
AEP,sell,5016.72,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
APTV,sell,5016.72,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
ORLY,sell,5016.72,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
NKE,sell,5016.72,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
MCD,sell,5016.72,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
MOS,sell,5016.72,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
LIN,sell,5016.72,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
SPG,sell,5016.72,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
TTD,sell,5016.72,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
WBD,sell,5016.72,,"ERROR: {""code"":42210000,""message"":""fractional orders cannot be sold short""}",2026-04-30_234142
