symbol,side,qty,notional,target_weight,current_weight,weight_diff,price,timestamp_utc
ADP,sell,26.3757,5590.06,-0.0056,0.0,-0.0056,211.94,2026-04-30_234142
ABT,sell,56.6377,5142.14,-0.0051,0.0,-0.0051,90.79,2026-04-30_234142
ELV,sell,13.6606,5142.14,-0.0051,0.0,-0.0051,376.42,2026-04-30_234142
ABBV,sell,24.3334,5142.14,-0.0051,0.0,-0.0051,211.32,2026-04-30_234142
CVS,sell,61.7378,5142.14,-0.0051,0.0,-0.0051,83.29,2026-04-30_234142
CNC,sell,95.7746,5142.14,-0.0051,0.0,-0.0051,53.69,2026-04-30_234142
JNJ,sell,22.3717,5142.14,-0.0051,0.0,-0.0051,229.85,2026-04-30_234142
HUM,sell,21.7482,5142.14,-0.0051,0.0,-0.0051,236.44,2026-04-30_234142
ZTS,sell,44.7259,5142.14,-0.0051,0.0,-0.0051,114.97,2026-04-30_234142
CSCO,sell,56.046,5128.21,-0.0051,0.0,-0.0051,91.5,2026-04-30_234142
FIS,sell,110.2129,5128.21,-0.0051,0.0,-0.0051,46.53,2026-04-30_234142
CB,sell,15.6826,5128.21,-0.0051,0.0,-0.0051,327.0,2026-04-30_234142
PNC,sell,22.9964,5128.21,-0.0051,0.0,-0.0051,223.0,2026-04-30_234142
TFC,sell,99.5768,5128.21,-0.0051,0.0,-0.0051,51.5,2026-04-30_234142
SNPS,sell,10.6262,5128.21,-0.0051,0.0,-0.0051,482.6,2026-04-30_234142
SWKS,sell,73.0826,5128.21,-0.0051,0.0,-0.0051,70.17,2026-04-30_234142
RF,sell,179.6219,5128.21,-0.0051,0.0,-0.0051,28.55,2026-04-30_234142
MU,sell,9.9161,5128.21,-0.0051,0.0,-0.0051,517.16,2026-04-30_234142
NOW,sell,58.0705,5128.21,-0.0051,0.0,-0.0051,88.31,2026-04-30_234142
PGR,sell,25.478,5128.21,-0.0051,0.0,-0.0051,201.28,2026-04-30_234142
ADBE,sell,20.8379,5128.21,-0.0051,0.0,-0.0051,246.1,2026-04-30_234142
AVGO,sell,12.2852,5128.21,-0.0051,0.0,-0.0051,417.43,2026-04-30_234142
BK,sell,38.1648,5128.21,-0.0051,0.0,-0.0051,134.37,2026-04-30_234142
AMP,sell,10.801,5128.21,-0.0051,0.0,-0.0051,474.79,2026-04-30_234142
MS,sell,26.907,5128.21,-0.0051,0.0,-0.0051,190.59,2026-04-30_234142
LRCX,sell,19.8876,5128.21,-0.0051,0.0,-0.0051,257.86,2026-04-30_234142
MSI,sell,11.6808,5128.21,-0.0051,0.0,-0.0051,439.03,2026-04-30_234142
AMZN,sell,18.9267,5016.72,-0.005,0.0,-0.005,265.06,2026-04-30_234142
HD,sell,15.2577,5016.72,-0.005,0.0,-0.005,328.8,2026-04-30_234142
GOOG,sell,13.1348,5016.72,-0.005,0.0,-0.005,381.94,2026-04-30_234142
D,sell,77.7786,5016.72,-0.005,0.0,-0.005,64.5,2026-04-30_234142
DD,sell,109.8713,5016.72,-0.005,0.0,-0.005,45.66,2026-04-30_234142
CMG,sell,147.5941,5016.72,-0.005,0.0,-0.005,33.99,2026-04-30_234142
AMT,sell,27.4573,5016.72,-0.005,0.0,-0.005,182.71,2026-04-30_234142
AEP,sell,36.589,5016.72,-0.005,0.0,-0.005,137.11,2026-04-30_234142
APTV,sell,83.2513,5016.72,-0.005,0.0,-0.005,60.26,2026-04-30_234142
ORLY,sell,50.47,5016.72,-0.005,0.0,-0.005,99.4,2026-04-30_234142
NKE,sell,113.0911,5016.72,-0.005,0.0,-0.005,44.36,2026-04-30_234142
MCD,sell,17.0875,5016.72,-0.005,0.0,-0.005,293.59,2026-04-30_234142
MOS,sell,215.5876,5016.72,-0.005,0.0,-0.005,23.27,2026-04-30_234142
LIN,sell,10.0106,5016.72,-0.005,0.0,-0.005,501.14,2026-04-30_234142
SPG,sell,24.6268,5016.72,-0.005,0.0,-0.005,203.71,2026-04-30_234142
TTD,sell,212.6631,5016.72,-0.005,0.0,-0.005,23.59,2026-04-30_234142
WBD,sell,185.4611,5016.72,-0.005,0.0,-0.005,27.05,2026-04-30_234142
